编码,水位(m),时间
DLJH-WLV-P01-001-02,16.868,2025-11-16 13:08:30.761
ZYXH-WLV-P01-001-02,18.076,2025-11-16 13:08:31.521
CBXH-WLV-P01-001-02,9.976,2025-11-16 13:08:36.659
JYHDQ-WLV-P01-001-02,8.507,2025-11-16 13:18:25.590
YDXH-WLV-P01-001-02,11.79,2025-11-16 13:18:26.493
ZYXH-WLV-P01-001-02,18.085,2025-11-16 13:18:31.499
DLJH-WLV-P01-001-02,16.893,2025-11-16 13:18:31.693
CBXH-WLV-P01-001-02,9.971,2025-11-16 13:18:36.674
JYHDQ-WLV-P01-001-02,8.526,2025-11-16 13:28:25.585
YDXH-WLV-P01-001-02,11.784,2025-11-16 13:28:26.467
DLJH-WLV-P01-001-02,16.959,2025-11-16 13:28:30.622
ZYXH-WLV-P01-001-02,18.12,2025-11-16 13:28:31.529
CBXH-WLV-P01-001-02,9.988,2025-11-16 13:28:36.657
JYHDQ-WLV-P01-001-02,8.511,2025-11-16 13:38:25.577
YDXH-WLV-P01-001-02,11.811,2025-11-16 13:38:26.515
DLJH-WLV-P01-001-02,17.015,2025-11-16 13:38:30.631
ZYXH-WLV-P01-001-02,18.165,2025-11-16 13:38:31.531
CBXH-WLV-P01-001-02,9.965,2025-11-16 13:38:36.638
JYHDQ-WLV-P01-001-02,8.497,2025-11-16 13:48:25.581
YDXH-WLV-P01-001-02,11.782,2025-11-16 13:48:26.497
DLJH-WLV-P01-001-02,17.074,2025-11-16 13:48:30.648
ZYXH-WLV-P01-001-02,18.261,2025-11-16 13:48:31.529
CBXH-WLV-P01-001-02,9.967,2025-11-16 13:48:36.623
JYHDQ-WLV-P01-001-02,8.553,2025-11-16 13:58:25.600
YDXH-WLV-P01-001-02,11.773,2025-11-16 13:58:26.485
DLJH-WLV-P01-001-02,17.144,2025-11-16 13:58:30.647
ZYXH-WLV-P01-001-02,18.325,2025-11-16 13:58:31.516
CBXH-WLV-P01-001-02,9.956,2025-11-16 13:58:36.751
JYHDQ-WLV-P01-001-02,8.499,2025-11-16 14:08:25.567
YDXH-WLV-P01-001-02,11.808,2025-11-16 14:08:26.487
DLJH-WLV-P01-001-02,17.22,2025-11-16 14:08:30.651
ZYXH-WLV-P01-001-02,18.419,2025-11-16 14:08:31.492
JYHDQ-WLV-P01-001-02,8.51,2025-11-16 14:18:25.594
YDXH-WLV-P01-001-02,11.773,2025-11-16 14:18:26.486
DLJH-WLV-P01-001-02,17.306,2025-11-16 14:18:30.637
ZYXH-WLV-P01-001-02,18.498,2025-11-16 14:18:31.501
JYHDQ-WLV-P01-001-02,8.515,2025-11-16 14:28:25.616
YDXH-WLV-P01-001-02,11.781,2025-11-16 14:28:26.485
DLJH-WLV-P01-001-02,17.386,2025-11-16 14:28:30.632
ZYXH-WLV-P01-001-02,18.562,2025-11-16 14:28:31.517
JYHDQ-WLV-P01-001-02,8.539,2025-11-16 14:38:25.593
YDXH-WLV-P01-001-02,11.766,2025-11-16 14:38:26.493
DLJH-WLV-P01-001-02,17.474,2025-11-16 14:38:30.624
ZYXH-WLV-P01-001-02,18.644,2025-11-16 14:38:31.509
JYHDQ-WLV-P01-001-02,8.518,2025-11-16 14:48:25.586
YDXH-WLV-P01-001-02,11.771,2025-11-16 14:48:26.477
DLJH-WLV-P01-001-02,17.554,2025-11-16 14:48:30.658
ZYXH-WLV-P01-001-02,18.719,2025-11-16 14:48:31.532
JYHDQ-WLV-P01-001-02,8.532,2025-11-16 14:58:25.609
YDXH-WLV-P01-001-02,11.758,2025-11-16 14:58:26.495
DLJH-WLV-P01-001-02,17.662,2025-11-16 14:58:30.625
ZYXH-WLV-P01-001-02,18.785,2025-11-16 14:58:31.524
JYHDQ-WLV-P01-001-02,8.516,2025-11-16 15:08:25.599
YDXH-WLV-P01-001-02,11.761,2025-11-16 15:08:26.466
DLJH-WLV-P01-001-02,17.769,2025-11-16 15:08:30.643
ZYXH-WLV-P01-001-02,18.859,2025-11-16 15:08:31.517
JYHDQ-WLV-P01-001-02,8.538,2025-11-16 15:18:25.628
YDXH-WLV-P01-001-02,11.77,2025-11-16 15:18:26.471
DLJH-WLV-P01-001-02,17.861,2025-11-16 15:18:30.656
ZYXH-WLV-P01-001-02,18.972,2025-11-16 15:18:31.578
JYHDQ-WLV-P01-001-02,8.545,2025-11-16 15:28:25.593
YDXH-WLV-P01-001-02,11.751,2025-11-16 15:28:26.476
DLJH-WLV-P01-001-02,17.97,2025-11-16 15:28:30.633
ZYXH-WLV-P01-001-02,19.061,2025-11-16 15:28:31.494
JYHDQ-WLV-P01-001-02,8.515,2025-11-16 15:38:25.579
YDXH-WLV-P01-001-02,11.749,2025-11-16 15:38:26.481
DLJH-WLV-P01-001-02,18.057,2025-11-16 15:38:30.634
ZYXH-WLV-P01-001-02,19.176,2025-11-16 15:38:31.534
JYHDQ-WLV-P01-001-02,8.534,2025-11-16 15:48:25.594
YDXH-WLV-P01-001-02,11.76,2025-11-16 15:48:26.464
DLJH-WLV-P01-001-02,18.143,2025-11-16 15:48:30.841
ZYXH-WLV-P01-001-02,19.308,2025-11-16 15:48:31.557
JYHDQ-WLV-P01-001-02,8.531,2025-11-16 15:58:25.567
YDXH-WLV-P01-001-02,11.753,2025-11-16 15:58:26.463
DLJH-WLV-P01-001-02,18.26,2025-11-16 15:58:30.672
ZYXH-WLV-P01-001-02,19.414,2025-11-16 15:58:31.541
JYHDQ-WLV-P01-001-02,8.538,2025-11-16 16:08:25.581
YDXH-WLV-P01-001-02,11.745,2025-11-16 16:08:26.517
DLJH-WLV-P01-001-02,18.36,2025-11-16 16:08:30.684
ZYXH-WLV-P01-001-02,19.518,2025-11-16 16:08:31.513
JYHDQ-WLV-P01-001-02,8.513,2025-11-16 16:18:25.604
YDXH-WLV-P01-001-02,11.743,2025-11-16 16:18:26.494
DLJH-WLV-P01-001-02,18.445,2025-11-16 16:18:30.616
ZYXH-WLV-P01-001-02,19.58,2025-11-16 16:18:31.527
JYHDQ-WLV-P01-001-02,8.502,2025-11-16 16:28:25.657
YDXH-WLV-P01-001-02,11.727,2025-11-16 16:28:26.516
DLJH-WLV-P01-001-02,18.543,2025-11-16 16:28:30.826
ZYXH-WLV-P01-001-02,19.661,2025-11-16 16:28:31.518
JYHDQ-WLV-P01-001-02,8.55,2025-11-16 16:38:25.622
YDXH-WLV-P01-001-02,11.72,2025-11-16 16:38:26.472
DLJH-WLV-P01-001-02,18.599,2025-11-16 16:38:30.647
ZYXH-WLV-P01-001-02,19.729,2025-11-16 16:38:31.534
JYHDQ-WLV-P01-001-02,8.523,2025-11-16 16:48:25.596
YDXH-WLV-P01-001-02,11.731,2025-11-16 16:48:26.527
DLJH-WLV-P01-001-02,18.68,2025-11-16 16:48:30.664
ZYXH-WLV-P01-001-02,19.809,2025-11-16 16:48:31.565
JYHDQ-WLV-P01-001-02,8.53,2025-11-16 16:58:25.982
YDXH-WLV-P01-001-02,11.728,2025-11-16 16:58:26.478
DLJH-WLV-P01-001-02,18.781,2025-11-16 16:58:30.622
ZYXH-WLV-P01-001-02,19.88,2025-11-16 16:58:31.524
JYHDQ-WLV-P01-001-02,8.532,2025-11-16 17:08:25.658
YDXH-WLV-P01-001-02,11.735,2025-11-16 17:08:26.480
DLJH-WLV-P01-001-02,18.843,2025-11-16 17:08:30.646
ZYXH-WLV-P01-001-02,19.963,2025-11-16 17:08:31.536
JYHDQ-WLV-P01-001-02,8.487,2025-11-16 17:18:25.637
YDXH-WLV-P01-001-02,11.723,2025-11-16 17:18:26.512
DLJH-WLV-P01-001-02,18.919,2025-11-16 17:18:30.657
ZYXH-WLV-P01-001-02,20.031,2025-11-16 17:18:31.527
JYHDQ-WLV-P01-001-02,8.522,2025-11-16 17:28:25.582
YDXH-WLV-P01-001-02,11.694,2025-11-16 17:28:26.492
DLJH-WLV-P01-001-02,18.989,2025-11-16 17:28:30.632
ZYXH-WLV-P01-001-02,20.097,2025-11-16 17:28:31.518
JYHDQ-WLV-P01-001-02,8.525,2025-11-16 17:38:25.628
YDXH-WLV-P01-001-02,11.711,2025-11-16 17:38:26.529
DLJH-WLV-P01-001-02,19.069,2025-11-16 17:38:30.638
ZYXH-WLV-P01-001-02,20.173,2025-11-16 17:38:31.523
JYHDQ-WLV-P01-001-02,8.53,2025-11-16 17:48:25.600
YDXH-WLV-P01-001-02,11.685,2025-11-16 17:48:26.482
DLJH-WLV-P01-001-02,19.137,2025-11-16 17:48:30.647
ZYXH-WLV-P01-001-02,20.238,2025-11-16 17:48:31.528
JYHDQ-WLV-P01-001-02,8.534,2025-11-16 17:58:25.596
YDXH-WLV-P01-001-02,11.681,2025-11-16 17:58:26.496
DLJH-WLV-P01-001-02,19.206,2025-11-16 17:58:30.661
ZYXH-WLV-P01-001-02,20.294,2025-11-16 17:58:31.494
JYHDQ-WLV-P01-001-02,8.524,2025-11-16 18:08:25.590
YDXH-WLV-P01-001-02,11.687,2025-11-16 18:08:26.522
DLJH-WLV-P01-001-02,19.274,2025-11-16 18:08:30.644
ZYXH-WLV-P01-001-02,20.336,2025-11-16 18:08:31.529
JYHDQ-WLV-P01-001-02,8.489,2025-11-16 18:18:25.595
YDXH-WLV-P01-001-02,11.702,2025-11-16 18:18:26.511
DLJH-WLV-P01-001-02,19.302,2025-11-16 18:18:30.647
ZYXH-WLV-P01-001-02,20.426,2025-11-16 18:18:31.534
JYHDQ-WLV-P01-001-02,8.533,2025-11-16 18:28:25.587
YDXH-WLV-P01-001-02,11.694,2025-11-16 18:28:26.576
DLJH-WLV-P01-001-02,19.366,2025-11-16 18:28:30.639
ZYXH-WLV-P01-001-02,20.462,2025-11-16 18:28:31.507
JYHDQ-WLV-P01-001-02,8.528,2025-11-16 18:38:25.620
YDXH-WLV-P01-001-02,11.699,2025-11-16 18:38:26.486
DLJH-WLV-P01-001-02,19.416,2025-11-16 18:38:30.642
ZYXH-WLV-P01-001-02,20.53,2025-11-16 18:38:31.530
JYHDQ-WLV-P01-001-02,8.54,2025-11-16 18:48:25.668
YDXH-WLV-P01-001-02,11.69,2025-11-16 18:48:26.501
DLJH-WLV-P01-001-02,19.493,2025-11-16 18:48:30.630
ZYXH-WLV-P01-001-02,20.562,2025-11-16 18:48:31.531
JYHDQ-WLV-P01-001-02,8.531,2025-11-16 18:58:25.676
YDXH-WLV-P01-001-02,11.696,2025-11-16 18:58:26.507
DLJH-WLV-P01-001-02,19.524,2025-11-16 18:58:30.612
ZYXH-WLV-P01-001-02,20.615,2025-11-16 18:58:31.543
JYHDQ-WLV-P01-001-02,8.541,2025-11-16 19:08:25.652
YDXH-WLV-P01-001-02,11.703,2025-11-16 19:08:26.473
DLJH-WLV-P01-001-02,19.574,2025-11-16 19:08:30.612
ZYXH-WLV-P01-001-02,20.65,2025-11-16 19:08:31.548
JYHDQ-WLV-P01-001-02,8.534,2025-11-16 19:18:25.586
YDXH-WLV-P01-001-02,11.673,2025-11-16 19:18:26.512
DLJH-WLV-P01-001-02,19.587,2025-11-16 19:18:30.647
ZYXH-WLV-P01-001-02,20.708,2025-11-16 19:18:31.518
JYHDQ-WLV-P01-001-02,8.539,2025-11-16 19:28:25.596
YDXH-WLV-P01-001-02,11.68,2025-11-16 19:28:26.527
DLJH-WLV-P01-001-02,19.607,2025-11-16 19:28:30.641
ZYXH-WLV-P01-001-02,20.772,2025-11-16 19:28:31.531
JYHDQ-WLV-P01-001-02,8.524,2025-11-16 19:38:25.634
YDXH-WLV-P01-001-02,11.672,2025-11-16 19:38:26.549
DLJH-WLV-P01-001-02,19.623,2025-11-16 19:38:30.658
ZYXH-WLV-P01-001-02,20.8,2025-11-16 19:38:31.499
JYHDQ-WLV-P01-001-02,8.551,2025-11-16 19:48:25.611
YDXH-WLV-P01-001-02,11.678,2025-11-16 19:48:26.565
DLJH-WLV-P01-001-02,19.649,2025-11-16 19:48:30.669
ZYXH-WLV-P01-001-02,20.847,2025-11-16 19:48:31.517
JYHDQ-WLV-P01-001-02,8.556,2025-11-16 19:58:25.613
DLJH-WLV-P01-001-02,19.668,2025-11-16 19:58:30.642
ZYXH-WLV-P01-001-02,20.858,2025-11-16 19:58:31.519
JYHDQ-WLV-P01-001-02,8.555,2025-11-16 20:08:25.598
DLJH-WLV-P01-001-02,19.656,2025-11-16 20:08:30.637
ZYXH-WLV-P01-001-02,20.864,2025-11-16 20:08:31.520
JYHDQ-WLV-P01-001-02,8.532,2025-11-16 20:18:25.689
DLJH-WLV-P01-001-02,19.626,2025-11-16 20:18:30.653
ZYXH-WLV-P01-001-02,20.853,2025-11-16 20:18:31.586
JYHDQ-WLV-P01-001-02,8.534,2025-11-16 20:28:25.662
DLJH-WLV-P01-001-02,19.588,2025-11-16 20:28:30.649
ZYXH-WLV-P01-001-02,20.82,2025-11-16 20:28:31.520
JYHDQ-WLV-P01-001-02,8.575,2025-11-16 20:38:25.589
DLJH-WLV-P01-001-02,19.558,2025-11-16 20:38:30.648
ZYXH-WLV-P01-001-02,20.816,2025-11-16 20:38:31.488
JYHDQ-WLV-P01-001-02,8.543,2025-11-16 20:48:25.611
DLJH-WLV-P01-001-02,19.493,2025-11-16 20:48:30.636
ZYXH-WLV-P01-001-02,20.773,2025-11-16 20:48:31.511
DLJH-WLV-P01-001-02,19.435,2025-11-16 20:58:30.663
ZYXH-WLV-P01-001-02,20.738,2025-11-16 20:58:31.519
DLJH-WLV-P01-001-02,19.384,2025-11-16 21:08:30.652
ZYXH-WLV-P01-001-02,20.696,2025-11-16 21:08:31.543
DLJH-WLV-P01-001-02,19.272,2025-11-16 21:18:30.703
ZYXH-WLV-P01-001-02,20.651,2025-11-16 21:18:31.503
DLJH-WLV-P01-001-02,19.16,2025-11-16 21:28:30.655
ZYXH-WLV-P01-001-02,20.587,2025-11-16 21:28:31.535
DLJH-WLV-P01-001-02,19.062,2025-11-16 21:38:30.661
ZYXH-WLV-P01-001-02,20.504,2025-11-16 21:38:31.550
DLJH-WLV-P01-001-02,18.964,2025-11-16 21:48:30.662
ZYXH-WLV-P01-001-02,20.389,2025-11-16 21:48:31.544
DLJH-WLV-P01-001-02,18.859,2025-11-16 21:58:30.673
ZYXH-WLV-P01-001-02,20.292,2025-11-16 21:58:31.540
DLJH-WLV-P01-001-02,18.772,2025-11-16 22:08:30.632
ZYXH-WLV-P01-001-02,20.192,2025-11-16 22:08:31.548
DLJH-WLV-P01-001-02,18.644,2025-11-16 22:18:30.652
ZYXH-WLV-P01-001-02,20.101,2025-11-16 22:18:31.560
DLJH-WLV-P01-001-02,18.557,2025-11-16 22:28:30.672
ZYXH-WLV-P01-001-02,19.991,2025-11-16 22:28:31.525
DLJH-WLV-P01-001-02,18.438,2025-11-16 22:38:30.683
ZYXH-WLV-P01-001-02,19.879,2025-11-16 22:38:31.549
DLJH-WLV-P01-001-02,18.348,2025-11-16 22:48:30.647
ZYXH-WLV-P01-001-02,19.751,2025-11-16 22:48:31.524
DLJH-WLV-P01-001-02,18.25,2025-11-16 22:58:30.684
ZYXH-WLV-P01-001-02,19.641,2025-11-16 22:58:31.548
DLJH-WLV-P01-001-02,18.156,2025-11-16 23:08:30.663
ZYXH-WLV-P01-001-02,19.545,2025-11-16 23:08:31.559
DLJH-WLV-P01-001-02,18.107,2025-11-16 23:18:30.647
ZYXH-WLV-P01-001-02,19.468,2025-11-16 23:18:31.534
DLJH-WLV-P01-001-02,18.02,2025-11-16 23:28:30.638
ZYXH-WLV-P01-001-02,19.391,2025-11-16 23:28:31.530
DLJH-WLV-P01-001-02,17.951,2025-11-16 23:38:30.682
ZYXH-WLV-P01-001-02,19.341,2025-11-16 23:38:31.539
DLJH-WLV-P01-001-02,17.908,2025-11-16 23:48:30.662
ZYXH-WLV-P01-001-02,19.294,2025-11-16 23:48:31.569
DLJH-WLV-P01-001-02,17.861,2025-11-16 23:58:30.682
ZYXH-WLV-P01-001-02,19.265,2025-11-16 23:58:31.540
